,mdl,spr,hrpu,sdc,plk,run,age,height,weight,bmi,sex,ioct
179,240,9.5,21,91,60,924,22,67,210,31.84478687,Male,175
180,260,9.9,47,98,135,905,22,68,184,27.42613224,Male,179
181,220,8.1,36,110,99,807,23,69,181,27.57849964,Male,168
182,300,9.3,47,95,117,901,23,69,175,25.16238799,Male,158
183,280,11.6,35,94,117,912,28,73,206,26.57420146,Male,187
184,240,10.6,36,99,90,1054,24,68,175,25.15710288,Male,178
185,200,7.7,16,98,63,937,22,69,146,22.24564059,Male,171
186,300,10.2,28,99,81,989,22,72,186,25.57668638,Male,182
187,300,12.3,39,89,153,862,22,72,186,24.19442223,Male,164
188,150,5.3,28,142,18,984,22,63,120,21.07775477,Female,214
189,340,12.5,46,87,72,821,23,74,232,30.01166036,Male,192
190,240,9.5,31,121,99,1081,22,71,199,27.045684,Male,176
191,340,12.7,31,89,99,861,21,73,195,25.78094172,Male,157
192,180,6.2,3,126,60,1022,23,65,164,26.84782131,Female,275
193,300,8.8,47,93,126,1017,22,66,174,27.33434802,Male,136
194,300,9,36,94,90,843,23,72,181,25.29715975,Male,157
195,240,7,42,110,90,863,21,64,158,26.34755135,Male,159
196,300,10.9,45,93,108,928,22,67,214,31.84478687,Male,162
197,220,8.1,30,99,45,967,22,67,162,24.68351901,Male,155
198,300,10,26,94,108,757,22,70,201,27.53337277,Male,154
199,300,11,36,89,108,906,24,70,188,26.88780888,Male,178
200,220,10,43,89,99,872,23,72,190,26.55502958,Male,175
